prefab,policy,warehouseFlag,whProps,A,B,C,trisFull,trisAfter,bboxW,bboxD,bboxH,posX,posY,posZ,origRotY,terrainH
Assets/_Project/Seocheon/Prefabs/Village/Village_Wooden_Bench_House_04.prefab,A+B,,,1,5,9,86452,64872,17.4,6.1,4.2,457.39,8.83,686.09,270.0,9.36
Assets/_Project/Seocheon/Prefabs/Village/Village_Wooden_Bench_House_03.prefab,A+B,,,1,11,25,133618,95290,9.9,18.1,4.2,446.79,8.82,680.09,180.0,9.27
Assets/_Project/Seocheon/Prefabs/Village/Village_Wooden_Bench_House_02.prefab,A+B,,,1,17,4,107746,92558,11.0,19.0,4.1,465.17,9.20,677.43,90.0,9.85
Assets/_Project/Seocheon/Prefabs/Village/Village_Wooden_Bench_House_01.prefab,A+B,,,1,13,38,239576,105680,17.1,12.1,4.7,456.04,9.34,672.55,90.0,9.63
Assets/_Project/Seocheon/Prefabs/Village/Village_Tavern_House_02_Full.prefab,Full,,,1,14,34,189183,189183,16.8,11.6,3.7,470.03,9.13,712.98,248.2,9.33
Assets/_Project/Seocheon/Prefabs/Village/Village_Tavern_House_01_Full.prefab,Full,WH2,Grain_Rake01b×1|Pantry_Chest×2|Rice_Chest×1|Jar01a×1|Meju×5|Corn×8,1,15,54,424536,424536,12.8,21.6,5.6,473.93,9.00,699.28,180.0,9.35
Assets/_Project/Seocheon/Prefabs/Village/Village_Smithy.prefab,A+B,,,1,0,18,95897,66430,11.5,6.9,5.4,455.18,8.48,692.54,85.4,9.41
Assets/_Project/Seocheon/Prefabs/Village/Village_Local_Personnel_Clerks_House_04.prefab,A+B,,,1,11,12,247470,59004,16.0,13.1,6.3,473.09,9.20,661.30,0.0,10.20
Assets/_Project/Seocheon/Prefabs/Village/Village_Local_Personnel_Clerks_House_03.prefab,A+B,,,1,5,25,146882,103908,14.9,17.6,5.2,452.02,9.58,656.66,195.0,10.43
Assets/_Project/Seocheon/Prefabs/Village/Village_Local_Personnel_Clerks_House_02.prefab,A+B,,,1,13,23,229922,101170,13.6,16.2,5.8,475.30,9.83,650.16,0.0,10.50
Assets/_Project/Seocheon/Prefabs/Village/Village_Local_Personnel_Clerks_House_01.prefab,A+B,,,1,13,73,304434,126966,20.3,10.2,5.3,462.97,10.24,645.62,90.0,10.53
Assets/_Project/Seocheon/Prefabs/Village/Village_Local_Clerks_House_02.prefab,A+B,,,1,15,10,251366,88598,21.6,12.7,4.0,488.54,9.19,686.09,332.0,9.54
Assets/_Project/Seocheon/Prefabs/Village/Village_Local_Clerks_House_01.prefab,A+B,,,1,0,35,154673,110725,17.3,11.7,5.3,482.35,9.06,675.49,85.0,8.91
Assets/_Project/Seocheon/Prefabs/Village/Village_L_Shaped_House_02.prefab,A+B,,,1,6,1,48316,47036,12.7,11.5,5.5,505.25,9.64,687.37,335.6,10.55
Assets/_Project/Seocheon/Prefabs/Village/Village_L_Shaped_House_01.prefab,A+B,,,1,5,59,207723,150663,16.2,13.9,5.9,503.57,9.74,675.66,89.2,10.53
Assets/_Project/Seocheon/Prefabs/Village/Village_House_With_Wooden_Floored_Room_04.prefab,A+B,,,1,6,0,33226,33226,7.5,10.6,2.4,417.07,7.96,660.03,180.0,8.93
Assets/_Project/Seocheon/Prefabs/Village/Village_House_With_Wooden_Floored_Room_03.prefab,A+B,,,1,8,17,129348,60584,11.5,12.0,3.6,418.30,8.38,668.25,180.0,8.76
Assets/_Project/Seocheon/Prefabs/Village/Village_House_With_Wooden_Floored_Room_02.prefab,A+B,,,1,14,13,222623,90263,12.0,18.9,3.6,439.43,9.19,666.61,0.0,9.37
Assets/_Project/Seocheon/Prefabs/Village/Village_House_With_Wooden_Floored_Room_01.prefab,A+B,,,1,9,60,335204,139216,19.5,11.6,5.8,428.91,8.68,659.46,89.4,9.17
Assets/_Project/Seocheon/Prefabs/Village/Village_House_With_Calling_Windows_02.prefab,A+B,,,1,10,14,253671,130679,15.9,16.5,5.5,494.20,9.21,709.84,0.0,9.69
Assets/_Project/Seocheon/Prefabs/Village/Village_House_With_Calling_Windows_01.prefab,A+B,WH3,Pantry_Chest×1|Jar01a×1|Jar01c×1|Straw_Jar01a×1|Cooked_Rice_Bowl×3|Rice_Straw×11,1,5,46,156597,104479,16.4,7.6,5.1,487.80,9.48,697.64,90.0,9.94
Assets/_Project/Seocheon/Prefabs/Village/Village_House_By_The_West_Gate_03.prefab,A+B,,,1,16,14,156146,102654,15.2,14.6,4.7,443.76,8.12,692.71,0.0,8.54
